שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ד,הי,הפ,הק,ו,ז,זה,זך,טב,יק,כן,מחל,מרץ,נ,ני,נץ,נק,עם,פ,פה,פז,פי,פך,פנ,פץ,ץ,צפ,צק,ק,קנ,רק,שס
אבו ג'ווייעד (שבט,967,1443,217,11,206,2,0,13,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,177,0,2,0,0,0,0,0,0,1,0,0,0,0,4
אבו גוש,472,3889,1844,79,1765,118,7,644,0,2,0,99,0,0,1,9,0,2,81,63,0,2,4,0,547,1,19,3,0,0,3,3,7,31,4,4,4,1,106
אבו סנאן,473,7886,4732,65,4667,221,3,372,1,5,1,1594,4,0,4,10,1,188,251,35,3,0,3,2,1206,2,52,3,4,0,2,4,7,292,2,15,8,6,366
אבו עבדון (שבט),958,106,69,0,69,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0
אבו קורינאת (שבט),968,2386,660,10,650,5,0,45,0,0,0,10,0,0,1,4,0,0,8,6,0,1,1,0,465,0,3,0,1,0,2,2,0,2,1,6,3,5,79
אבו קרינאת (יישוב,1342,135,59,5,54,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,22
אבו רובייעה (שבט),966,3095,488,12,476,17,1,67,1,0,0,6,1,0,0,1,0,0,2,8,0,0,3,2,285,1,2,1,1,0,3,4,9,4,4,1,1,0,51
אבו רוקייק (שבט),961,3747,1021,22,999,6,3,105,2,0,0,3,0,0,0,6,0,0,6,4,0,0,1,1,808,1,5,2,1,0,2,1,4,4,7,3,3,4,17
אבטין,652,1533,632,14,618,10,2,248,0,0,0,20,0,0,0,1,0,6,6,16,0,0,0,0,274,1,2,0,0,0,0,0,2,10,2,0,0,0,18
אבטליון,1275,190,147,1,146,53,0,0,0,0,0,3,8,0,0,5,0,3,15,16,0,0,0,0,0,0,25,0,0,0,0,0,2,14,0,0,2,0,0
אביאל,679,493,400,0,400,70,1,0,0,0,0,1,20,0,1,13,0,9,84,38,0,0,1,0,0,0,106,1,1,0,0,0,4,35,0,0,9,5,1
אביבים,1115,315,200,2,198,4,4,0,0,0,0,0,0,0,0,27,0,7,70,0,0,0,4,0,0,0,1,0,0,0,0,0,2,2,0,0,3,0,74
