שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
אבו ג'ווייעד (שבט,967,1610,313,7,306,39,0,242,0,0,0,0,0,0,0,0,1,0,3,8,0,0,0,8,1,0,1,0,1,0,2
אבו גוש,472,4178,2539,33,2506,143,4,2114,0,3,0,10,1,0,0,2,21,5,58,41,0,0,1,41,14,0,4,2,5,2,35
אבו סנאן,473,8363,5798,52,5746,299,3,3802,0,0,0,10,1,0,0,6,158,799,255,66,3,1,2,47,41,1,5,11,21,2,213
אבו עבדון (שבט),958,119,37,1,36,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
אבו קורינאת (שבט),968,2685,759,7,752,84,3,564,1,1,0,2,3,2,0,1,5,1,8,6,0,0,1,23,25,1,1,3,4,5,8
אבו קרינאת (יישוב,1342,154,65,1,64,4,0,50,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,2
אבו רובייעה (שבט),966,3502,716,11,705,54,1,536,0,0,1,0,0,0,0,2,1,0,10,9,0,1,0,35,29,1,2,1,6,0,16
אבו רוקייק (שבט),961,4205,1271,10,1261,31,1,1112,1,0,0,3,0,0,0,6,3,1,7,30,0,1,2,45,2,1,1,3,2,1,8
אבטין,652,1632,807,15,792,50,0,700,0,0,0,0,1,0,0,1,7,0,7,7,0,0,0,11,3,0,0,0,0,0,5
אבטליון,1275,229,188,1,187,89,0,2,0,0,0,10,0,0,0,0,16,1,23,25,0,0,0,0,16,0,0,5,0,0,0
אביאל,679,505,414,1,413,153,1,0,0,0,0,10,0,0,0,0,53,3,88,41,0,0,0,0,58,0,0,5,1,0,0
אביבים,1115,336,230,2,228,6,4,0,0,0,0,13,0,0,0,0,18,2,140,0,0,0,0,0,1,0,0,3,1,0,40
אביגדור,819,569,475,0,475,254,0,0,0,0,0,19,0,0,0,0,28,3,45,34,0,0,0,0,80,0,0,5,0,0,7
אביחיל,175,949,735,3,732,380,1,1,0,0,1,24,0,0,0,0,36,2,77,71,0,0,0,0,128,0,0,5,1,2,3
אביטל,2052,379,290,2,288,16,0,0,0,0,0,23,0,0,0,0,29,1,176,1,0,0,0,0,5,0,0,2,19,0,16
אביעזר,1070,495,406,0,406,81,4,3,0,0,0,46,0,0,0,0,28,13,130,25,0,0,0,0,52,0,0,2,10,1,11
אבירים,1220,160,123,1,122,48,0,3,0,0,0,0,0,0,0,0,6,1,9,34,0,0,0,0,12,0,0,4,1,0,4
אבן יהודה,182,9206,7285,36,7249,2739,37,9,0,1,3,304,0,0,0,0,629,66,1376,482,3,1,1,2,1340,2,4,80,53,5,112
אבן מנחם,1081,266,199,1,198,28,2,0,0,0,0,6,0,0,0,0,12,3,92,0,0,0,0,0,19,0,0,4,1,0,31
אבן ספיר,783,504,379,0,379,71,1,0,0,0,0,15,0,0,0,0,47,14,172,15,1,0,0,0,17,0,0,10,2,1,13
אבן שמואל,400,586,522,3,519,7,6,0,0,0,0,232,0,0,0,0,15,0,116,1,1,0,0,0,2,0,0,2,118,0,19
